Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Total Profit
1,"Friday, November 24, 2023",CUST001,Male,34,Beauty,3,50,150,456000
2,"Monday, February 27, 2023",CUST002,Female,26,Clothing,2,500,1000,
3,"Friday, January 13, 2023",CUST003,Male,50,Electronics,1,30,30,
4,"Sunday, May 21, 2023",CUST004,Male,37,Clothing,1,500,500,
5,"Saturday, May 6, 2023",CUST005,Male,30,Beauty,2,50,100,
6,"Tuesday, April 25, 2023",CUST006,Female,45,Beauty,1,30,30,
7,"Monday, March 13, 2023",CUST007,Male,46,Clothing,2,25,50,
8,"Wednesday, February 22, 2023",CUST008,Male,30,Electronics,4,25,100,
9,"Wednesday, December 13, 2023",CUST009,Male,63,Electronics,2,300,600,
10,"Saturday, October 7, 2023",CUST010,Female,52,Clothing,4,50,200,
11,"Tuesday, February 14, 2023",CUST011,Male,23,Clothing,2,50,100,
12,"Monday, October 30, 2023",CUST012,Male,35,Beauty,3,25,75,
13,"Saturday, August 5, 2023",CUST013,Male,22,Electronics,3,500,1500,
14,"Tuesday, January 17, 2023",CUST014,Male,64,Clothing,4,30,120,
15,"Monday, January 16, 2023",CUST015,Female,42,Electronics,4,500,2000,
16,"Friday, February 17, 2023",CUST016,Male,19,Clothing,3,500,1500,
17,"Saturday, April 22, 2023",CUST017,Female,27,Clothing,4,25,100,
18,"Sunday, April 30, 2023",CUST018,Female,47,Electronics,2,25,50,
19,"Saturday, September 16, 2023",CUST019,Female,62,Clothing,2,25,50,
20,"Sunday, November 5, 2023",CUST020,Male,22,Clothing,3,300,900,
21,"Saturday, January 14, 2023",CUST021,Female,50,Beauty,1,500,500,
22,"Sunday, October 15, 2023",CUST022,Male,18,Clothing,2,50,100,
23,"Wednesday, April 12, 2023",CUST023,Female,35,Clothing,4,30,120,
24,"Wednesday, November 29, 2023",CUST024,Female,49,Clothing,1,300,300,
25,"Tuesday, December 26, 2023",CUST025,Female,64,Beauty,1,50,50,
26,"Saturday, October 7, 2023",CUST026,Female,28,Electronics,2,500,1000,
27,"Thursday, August 3, 2023",CUST027,Female,38,Beauty,2,25,50,
28,"Sunday, April 23, 2023",CUST028,Female,43,Beauty,1,500,500,
29,"Friday, August 18, 2023",CUST029,Female,42,Electronics,1,30,30,
30,"Sunday, October 29, 2023",CUST030,Female,39,Beauty,3,300,900,
31,"Tuesday, May 23, 2023",CUST031,Male,44,Electronics,4,300,1200,
32,"Wednesday, January 4, 2023",CUST032,Male,30,Beauty,3,30,90,
33,"Thursday, March 23, 2023",CUST033,Female,50,Electronics,2,50,100,
34,"Sunday, December 24, 2023",CUST034,Female,51,Clothing,3,50,150,
35,"Saturday, August 5, 2023",CUST035,Female,58,Beauty,3,300,900,
36,"Saturday, June 24, 2023",CUST036,Male,52,Beauty,3,300,900,
37,"Tuesday, May 23, 2023",CUST037,Female,18,Beauty,3,25,75,
38,"Tuesday, March 21, 2023",CUST038,Male,38,Beauty,4,50,200,
39,"Friday, April 21, 2023",CUST039,Male,23,Clothing,4,30,120,
40,"Thursday, June 22, 2023",CUST040,Male,45,Beauty,1,50,50,
41,"Wednesday, February 22, 2023",CUST041,Male,34,Clothing,2,25,50,
42,"Friday, February 17, 2023",CUST042,Male,22,Clothing,3,300,900,
43,"Friday, July 14, 2023",CUST043,Female,48,Clothing,1,300,300,
44,"Sunday, February 19, 2023",CUST044,Female,22,Clothing,1,25,25,
45,"Monday, July 3, 2023",CUST045,Female,55,Electronics,1,30,30,
46,"Monday, June 26, 2023",CUST046,Female,20,Electronics,4,300,1200,
47,"Monday, November 6, 2023",CUST047,Female,40,Beauty,3,500,1500,
48,"Tuesday, May 16, 2023",CUST048,Male,54,Electronics,3,300,900,
49,"Monday, January 23, 2023",CUST049,Female,54,Electronics,2,500,1000,
50,"Thursday, August 24, 2023",CUST050,Female,27,Beauty,3,25,75,
51,"Monday, October 2, 2023",CUST051,Male,27,Beauty,3,25,75,
52,"Sunday, March 5, 2023",CUST052,Female,36,Beauty,1,300,300,
53,"Thursday, July 13, 2023",CUST053,Male,34,Electronics,2,50,100,
54,"Friday, February 10, 2023",CUST054,Female,38,Electronics,3,500,1500,
55,"Tuesday, October 10, 2023",CUST055,Male,31,Beauty,4,30,120,
56,"Wednesday, May 31, 2023",CUST056,Female,26,Clothing,3,300,900,
57,"Saturday, November 18, 2023",CUST057,Female,63,Beauty,1,30,30,
58,"Monday, November 13, 2023",CUST058,Male,18,Clothing,4,300,1200,
59,"Wednesday, July 5, 2023",CUST059,Male,62,Clothing,1,50,50,
60,"Monday, October 23, 2023",CUST060,Male,30,Beauty,3,50,150,
61,"Sunday, April 9, 2023",CUST061,Male,21,Beauty,4,50,200,
62,"Wednesday, December 27, 2023",CUST062,Male,18,Beauty,2,50,100,
63,"Sunday, February 5, 2023",CUST063,Male,57,Electronics,2,25,50,
64,"Tuesday, January 24, 2023",CUST064,Male,49,Clothing,4,25,100,
65,"Tuesday, December 5, 2023",CUST065,Male,51,Electronics,4,500,2000,
66,"Thursday, April 27, 2023",CUST066,Female,45,Electronics,1,30,30,
67,"Monday, May 29, 2023",CUST067,Female,48,Beauty,4,300,1200,
68,"Friday, February 10, 2023",CUST068,Male,25,Electronics,1,300,300,
69,"Sunday, April 30, 2023",CUST069,Female,56,Beauty,3,25,75,
70,"Tuesday, February 21, 2023",CUST070,Female,43,Clothing,1,300,300,
71,"Friday, July 14, 2023",CUST071,Female,51,Beauty,4,25,100,
72,"Tuesday, May 23, 2023",CUST072,Female,20,Electronics,4,500,2000,
73,"Monday, August 21, 2023",CUST073,Male,29,Electronics,3,30,90,
74,"Wednesday, November 22, 2023",CUST074,Female,18,Beauty,4,500,2000,
75,"Thursday, July 6, 2023",CUST075,Male,61,Beauty,4,50,200,
76,"Saturday, March 25, 2023",CUST076,Female,22,Electronics,2,50,100,
77,"Sunday, July 9, 2023",CUST077,Female,47,Clothing,2,50,100,
78,"Saturday, July 1, 2023",CUST078,Female,47,Clothing,3,500,1500,
79,"Tuesday, April 18, 2023",CUST079,Male,34,Beauty,1,300,300,
80,"Sunday, December 10, 2023",CUST080,Female,64,Clothing,2,30,60,
81,"Wednesday, May 17, 2023",CUST081,Male,40,Electronics,1,50,50,
82,"Tuesday, December 26, 2023",CUST082,Female,32,Beauty,4,50,200,
83,"Saturday, December 16, 2023",CUST083,Male,54,Electronics,2,50,100,
84,"Tuesday, November 28, 2023",CUST084,Female,38,Electronics,3,30,90,
85,"Monday, February 6, 2023",CUST085,Male,31,Clothing,3,50,150,
86,"Wednesday, November 8, 2023",CUST086,Male,19,Beauty,3,30,90,
87,"Wednesday, November 22, 2023",CUST087,Female,28,Beauty,2,50,100,
88,"Wednesday, March 29, 2023",CUST088,Male,56,Clothing,1,500,500,
89,"Sunday, October 1, 2023",CUST089,Female,55,Electronics,4,500,2000,
90,"Saturday, May 6, 2023",CUST090,Female,51,Electronics,1,30,30,
91,"Saturday, March 25, 2023",CUST091,Female,55,Electronics,1,500,500,
92,"Friday, August 25, 2023",CUST092,Female,51,Electronics,4,30,120,
93,"Friday, July 14, 2023",CUST093,Female,35,Beauty,4,500,2000,
94,"Friday, May 19, 2023",CUST094,Female,47,Beauty,2,500,1000,
95,"Friday, November 24, 2023",CUST095,Female,32,Clothing,2,30,60,
96,"Tuesday, December 19, 2023",CUST096,Female,44,Clothing,2,300,600,
97,"Friday, October 13, 2023",CUST097,Female,51,Beauty,2,500,1000,
98,"Sunday, April 23, 2023",CUST098,Female,55,Beauty,2,50,100,
99,"Sunday, December 17, 2023",CUST099,Female,50,Electronics,4,300,1200,
100,"Friday, June 16, 2023",CUST100,Male,41,Electronics,1,30,30,
101,"Sunday, January 29, 2023",CUST101,Male,32,Clothing,2,300,600,
102,"Friday, April 28, 2023",CUST102,Female,47,Beauty,2,25,50,
103,"Tuesday, January 17, 2023",CUST103,Female,59,Clothing,1,25,25,
104,"Sunday, June 11, 2023",CUST104,Female,34,Beauty,2,500,1000,
105,"Tuesday, July 25, 2023",CUST105,Female,22,Electronics,1,500,500,
106,"Thursday, May 18, 2023",CUST106,Female,46,Clothing,1,50,50,
107,"Friday, February 3, 2023",CUST107,Female,21,Clothing,4,300,1200,
108,"Wednesday, April 19, 2023",CUST108,Female,27,Beauty,3,25,75,
109,"Wednesday, October 18, 2023",CUST109,Female,34,Electronics,4,500,2000,
110,"Sunday, June 11, 2023",CUST110,Male,27,Clothing,3,300,900,
111,"Wednesday, April 19, 2023",CUST111,Female,34,Electronics,3,500,1500,
112,"Saturday, December 2, 2023",CUST112,Male,37,Clothing,3,500,1500,
113,"Wednesday, September 13, 2023",CUST113,Female,41,Electronics,2,25,50,
114,"Saturday, July 22, 2023",CUST114,Female,22,Beauty,4,25,100,
115,"Sunday, November 26, 2023",CUST115,Male,51,Clothing,3,500,1500,
116,"Wednesday, August 23, 2023",CUST116,Female,23,Clothing,1,30,30,
117,"Wednesday, March 15, 2023",CUST117,Male,19,Electronics,2,500,1000,
118,"Tuesday, May 16, 2023",CUST118,Female,30,Electronics,4,500,2000,
119,"Monday, March 13, 2023",CUST119,Female,60,Clothing,3,50,150,
120,"Sunday, May 7, 2023",CUST120,Male,60,Beauty,1,50,50,
121,"Sunday, October 15, 2023",CUST121,Female,28,Electronics,4,50,200,
122,"Tuesday, October 3, 2023",CUST122,Male,64,Electronics,4,30,120,
123,"Monday, May 15, 2023",CUST123,Female,40,Electronics,2,30,60,
124,"Friday, October 27, 2023",CUST124,Male,33,Clothing,4,500,2000,
125,"Tuesday, August 8, 2023",CUST125,Male,48,Clothing,2,50,100,
126,"Thursday, October 26, 2023",CUST126,Female,28,Clothing,3,30,90,
127,"Monday, July 24, 2023",CUST127,Female,33,Clothing,2,25,50,
128,"Wednesday, July 5, 2023",CUST128,Male,25,Beauty,1,500,500,
129,"Sunday, April 23, 2023",CUST129,Female,21,Beauty,2,300,600,
130,"Sunday, March 12, 2023",CUST130,Female,57,Clothing,1,500,500,
131,"Monday, September 18, 2023",CUST131,Female,21,Beauty,2,300,600,
132,"Sunday, September 10, 2023",CUST132,Male,42,Electronics,4,50,200,
133,"Thursday, February 16, 2023",CUST133,Male,20,Electronics,3,300,900,
134,"Wednesday, January 25, 2023",CUST134,Male,49,Electronics,1,50,50,
135,"Sunday, February 26, 2023",CUST135,Male,20,Clothing,2,25,50,
136,"Monday, March 20, 2023",CUST136,Male,44,Electronics,2,300,600,
137,"Saturday, November 18, 2023",CUST137,Male,46,Beauty,2,500,1000,
138,"Thursday, March 23, 2023",CUST138,Male,49,Clothing,4,50,200,
139,"Friday, December 15, 2023",CUST139,Male,36,Beauty,4,500,2000,
140,"Saturday, August 5, 2023",CUST140,Male,38,Electronics,1,30,30,
141,"Thursday, November 2, 2023",CUST141,Female,22,Electronics,1,50,50,
142,"Thursday, February 2, 2023",CUST142,Male,35,Electronics,4,300,1200,
143,"Monday, July 17, 2023",CUST143,Female,45,Clothing,1,50,50,
144,"Saturday, July 15, 2023",CUST144,Female,59,Beauty,3,500,1500,
145,"Thursday, November 2, 2023",CUST145,Female,39,Clothing,3,25,75,
146,"Monday, August 28, 2023",CUST146,Male,38,Clothing,4,50,200,
147,"Thursday, September 28, 2023",CUST147,Male,23,Electronics,1,300,300,
148,"Tuesday, May 9, 2023",CUST148,Male,18,Clothing,2,30,60,
149,"Wednesday, October 11, 2023",CUST149,Male,22,Clothing,3,25,75,
150,"Friday, January 6, 2023",CUST150,Female,58,Electronics,4,30,120,
151,"Friday, December 15, 2023",CUST151,Male,29,Clothing,1,50,50,
152,"Tuesday, February 28, 2023",CUST152,Male,43,Electronics,4,500,2000,
153,"Saturday, December 16, 2023",CUST153,Male,63,Electronics,2,500,1000,
154,"Monday, October 2, 2023",CUST154,Male,51,Electronics,3,300,900,
155,"Wednesday, May 17, 2023",CUST155,Male,31,Electronics,4,500,2000,
156,"Saturday, November 25, 2023",CUST156,Female,43,Clothing,4,25,100,
157,"Saturday, June 24, 2023",CUST157,Male,62,Electronics,4,500,2000,
158,"Monday, February 27, 2023",CUST158,Female,44,Electronics,2,300,600,
159,"Wednesday, May 31, 2023",CUST159,Male,26,Clothing,4,50,200,
160,"Friday, August 11, 2023",CUST160,Female,43,Clothing,2,50,100,
161,"Wednesday, March 22, 2023",CUST161,Male,64,Beauty,2,500,1000,
162,"Monday, August 21, 2023",CUST162,Male,39,Clothing,2,30,60,
163,"Monday, January 2, 2023",CUST163,Female,64,Clothing,3,50,150,
164,"Monday, May 15, 2023",CUST164,Female,47,Beauty,3,500,1500,
165,"Thursday, September 14, 2023",CUST165,Female,60,Clothing,4,300,1200,
166,"Sunday, April 2, 2023",CUST166,Male,34,Clothing,4,500,2000,
167,"Sunday, September 17, 2023",CUST167,Female,43,Clothing,3,50,150,
168,"Friday, February 24, 2023",CUST168,Male,53,Clothing,1,300,300,
169,"Friday, November 17, 2023",CUST169,Male,18,Beauty,3,500,1500,
170,"Friday, June 2, 2023",CUST170,Female,25,Clothing,2,25,50,
171,"Friday, November 24, 2023",CUST171,Female,52,Clothing,3,300,900,
172,"Sunday, September 17, 2023",CUST172,Male,32,Beauty,2,25,50,
173,"Wednesday, November 8, 2023",CUST173,Male,64,Electronics,4,30,120,
174,"Wednesday, April 12, 2023",CUST174,Female,39,Beauty,1,300,300,
175,"Monday, March 20, 2023",CUST175,Female,31,Electronics,4,25,100,
176,"Tuesday, July 11, 2023",CUST176,Female,43,Beauty,2,50,100,
177,"Friday, March 24, 2023",CUST177,Male,45,Beauty,2,50,100,
178,"Wednesday, October 4, 2023",CUST178,Male,40,Clothing,2,30,60,
179,"Friday, September 29, 2023",CUST179,Male,31,Electronics,1,300,300,
180,"Sunday, January 1, 2023",CUST180,Male,41,Clothing,3,300,900,
181,"Friday, November 3, 2023",CUST181,Male,19,Electronics,4,300,1200,
182,"Thursday, June 15, 2023",CUST182,Male,62,Beauty,4,30,120,
183,"Friday, September 8, 2023",CUST183,Female,43,Beauty,3,300,900,
184,"Tuesday, January 10, 2023",CUST184,Male,31,Electronics,4,50,200,
185,"Monday, February 27, 2023",CUST185,Male,24,Clothing,1,25,25,
186,"Wednesday, July 5, 2023",CUST186,Male,20,Clothing,4,50,200,
187,"Wednesday, June 7, 2023",CUST187,Female,64,Clothing,2,50,100,
188,"Wednesday, May 3, 2023",CUST188,Male,40,Clothing,3,25,75,
189,"Monday, January 30, 2023",CUST189,Male,63,Beauty,1,50,50,
190,"Thursday, May 4, 2023",CUST190,Female,60,Beauty,3,30,90,
191,"Wednesday, October 18, 2023",CUST191,Male,64,Beauty,1,25,25,
192,"Friday, February 10, 2023",CUST192,Male,62,Beauty,2,50,100,
193,"Monday, February 13, 2023",CUST193,Male,35,Beauty,3,500,1500,
194,"Wednesday, September 6, 2023",CUST194,Male,55,Clothing,4,50,200,
195,"Sunday, February 5, 2023",CUST195,Male,52,Clothing,1,30,30,
196,"Saturday, September 30, 2023",CUST196,Female,32,Clothing,3,300,900,
197,"Monday, March 6, 2023",CUST197,Female,42,Clothing,4,50,200,
198,"Tuesday, March 7, 2023",CUST198,Female,54,Beauty,3,300,900,
199,"Monday, December 4, 2023",CUST199,Male,45,Beauty,3,500,1500,
200,"Friday, September 1, 2023",CUST200,Male,27,Beauty,3,50,150,
201,"Monday, October 9, 2023",CUST201,Male,56,Electronics,1,25,25,
202,"Sunday, March 26, 2023",CUST202,Female,34,Clothing,4,300,1200,
203,"Tuesday, May 16, 2023",CUST203,Male,56,Clothing,2,500,1000,
204,"Thursday, September 28, 2023",CUST204,Male,39,Beauty,1,25,25,
205,"Tuesday, November 7, 2023",CUST205,Female,43,Clothing,1,25,25,
206,"Saturday, August 5, 2023",CUST206,Male,61,Clothing,1,25,25,
207,"Wednesday, April 19, 2023",CUST207,Female,42,Beauty,2,25,50,
208,"Wednesday, October 4, 2023",CUST208,Female,34,Electronics,4,50,200,
209,"Wednesday, December 20, 2023",CUST209,Female,30,Electronics,4,50,200,
210,"Thursday, April 13, 2023",CUST210,Male,37,Electronics,4,50,200,
211,"Monday, January 1, 2024",CUST211,Male,42,Beauty,3,500,1500,
212,"Friday, June 9, 2023",CUST212,Male,21,Clothing,3,500,1500,
213,"Monday, July 24, 2023",CUST213,Male,27,Beauty,3,500,1500,
214,"Sunday, December 10, 2023",CUST214,Male,20,Beauty,2,30,60,
215,"Wednesday, November 29, 2023",CUST215,Male,58,Clothing,3,500,1500,
216,"Tuesday, July 11, 2023",CUST216,Male,62,Electronics,2,50,100,
217,"Sunday, August 13, 2023",CUST217,Female,35,Electronics,4,50,200,
218,"Friday, September 22, 2023",CUST218,Male,64,Beauty,3,30,90,
219,"Sunday, August 20, 2023",CUST219,Female,53,Electronics,3,30,90,
220,"Friday, March 3, 2023",CUST220,Male,64,Beauty,1,500,500,
221,"Sunday, May 7, 2023",CUST221,Male,39,Beauty,2,300,600,
222,"Wednesday, April 26, 2023",CUST222,Male,51,Clothing,4,30,120,
223,"Thursday, February 2, 2023",CUST223,Female,64,Clothing,1,25,25,
224,"Friday, June 23, 2023",CUST224,Female,25,Clothing,1,50,50,
225,"Wednesday, January 11, 2023",CUST225,Female,57,Beauty,4,25,100,
226,"Sunday, October 29, 2023",CUST226,Female,61,Clothing,1,50,50,
227,"Wednesday, October 11, 2023",CUST227,Male,36,Electronics,2,50,100,
228,"Friday, April 28, 2023",CUST228,Female,59,Electronics,2,30,60,
229,"Sunday, October 29, 2023",CUST229,Male,58,Beauty,3,30,90,
230,"Sunday, April 23, 2023",CUST230,Male,54,Beauty,1,25,25,
231,"Wednesday, January 4, 2023",CUST231,Female,23,Clothing,3,50,150,
232,"Monday, February 6, 2023",CUST232,Female,43,Beauty,1,25,25,
233,"Friday, December 29, 2023",CUST233,Female,51,Beauty,2,300,600,
234,"Monday, November 20, 2023",CUST234,Female,62,Electronics,2,25,50,
235,"Tuesday, January 31, 2023",CUST235,Female,23,Electronics,2,500,1000,
236,"Friday, April 28, 2023",CUST236,Female,54,Clothing,1,25,25,
237,"Saturday, February 4, 2023",CUST237,Female,50,Beauty,2,500,1000,
238,"Tuesday, January 17, 2023",CUST238,Female,39,Beauty,1,500,500,
239,"Monday, June 19, 2023",CUST239,Male,38,Electronics,3,500,1500,
240,"Monday, February 6, 2023",CUST240,Female,23,Beauty,1,300,300,
241,"Thursday, September 21, 2023",CUST241,Female,23,Electronics,3,25,75,
242,"Tuesday, May 2, 2023",CUST242,Male,21,Clothing,1,25,25,
243,"Tuesday, May 23, 2023",CUST243,Female,47,Electronics,3,300,900,
244,"Saturday, December 9, 2023",CUST244,Male,28,Beauty,2,50,100,
245,"Wednesday, September 6, 2023",CUST245,Male,47,Clothing,3,30,90,
246,"Thursday, April 20, 2023",CUST246,Female,48,Electronics,2,25,50,
247,"Wednesday, October 4, 2023",CUST247,Male,41,Electronics,2,30,60,
248,"Thursday, March 9, 2023",CUST248,Male,26,Clothing,3,300,900,
249,"Friday, October 20, 2023",CUST249,Male,20,Clothing,1,50,50,
250,"Monday, October 23, 2023",CUST250,Male,48,Electronics,1,50,50,
251,"Thursday, August 31, 2023",CUST251,Female,57,Beauty,4,50,200,
252,"Friday, May 5, 2023",CUST252,Male,54,Electronics,1,300,300,
253,"Thursday, August 31, 2023",CUST253,Female,53,Clothing,4,500,2000,
254,"Friday, July 28, 2023",CUST254,Male,41,Electronics,1,500,500,
255,"Saturday, April 8, 2023",CUST255,Male,48,Clothing,1,30,30,
256,"Saturday, February 18, 2023",CUST256,Male,23,Clothing,2,500,1000,
257,"Sunday, February 19, 2023",CUST257,Male,19,Beauty,4,500,2000,
258,"Monday, December 4, 2023",CUST258,Female,37,Clothing,1,50,50,
259,"Wednesday, August 9, 2023",CUST259,Female,45,Clothing,4,50,200,
260,"Saturday, July 1, 2023",CUST260,Male,28,Beauty,2,30,60,
261,"Saturday, August 5, 2023",CUST261,Male,21,Clothing,2,25,50,
262,"Sunday, July 30, 2023",CUST262,Female,32,Beauty,4,30,120,
263,"Monday, August 28, 2023",CUST263,Male,23,Beauty,2,30,60,
264,"Saturday, January 28, 2023",CUST264,Male,47,Clothing,3,300,900,
265,"Monday, December 11, 2023",CUST265,Male,55,Clothing,3,300,900,
266,"Friday, December 1, 2023",CUST266,Female,19,Electronics,2,30,60,
267,"Monday, November 27, 2023",CUST267,Female,32,Beauty,3,30,90,
268,"Monday, February 20, 2023",CUST268,Female,28,Electronics,1,30,30,
269,"Wednesday, February 1, 2023",CUST269,Male,25,Clothing,4,500,2000,
270,"Wednesday, July 26, 2023",CUST270,Male,43,Electronics,1,300,300,
271,"Friday, June 23, 2023",CUST271,Female,62,Beauty,4,30,120,
272,"Saturday, February 25, 2023",CUST272,Female,61,Electronics,2,50,100,
273,"Monday, May 8, 2023",CUST273,Female,22,Beauty,1,50,50,
274,"Sunday, April 9, 2023",CUST274,Female,23,Clothing,2,500,1000,
275,"Saturday, April 8, 2023",CUST275,Male,43,Clothing,2,500,1000,
276,"Monday, October 2, 2023",CUST276,Female,21,Beauty,4,25,100,
277,"Friday, August 18, 2023",CUST277,Male,36,Clothing,4,25,100,
278,"Monday, March 13, 2023",CUST278,Female,37,Clothing,4,25,100,
279,"Saturday, August 5, 2023",CUST279,Male,50,Clothing,1,500,500,
280,"Tuesday, April 4, 2023",CUST280,Female,37,Clothing,3,500,1500,
281,"Tuesday, May 23, 2023",CUST281,Female,29,Beauty,4,500,2000,
282,"Friday, August 25, 2023",CUST282,Female,64,Electronics,4,50,200,
283,"Monday, May 8, 2023",CUST283,Female,18,Electronics,1,500,500,
284,"Wednesday, February 8, 2023",CUST284,Male,43,Clothing,4,50,200,
285,"Tuesday, August 15, 2023",CUST285,Female,31,Electronics,1,25,25,
286,"Monday, October 9, 2023",CUST286,Male,55,Electronics,2,25,50,
287,"Monday, February 20, 2023",CUST287,Male,54,Clothing,4,25,100,
288,"Thursday, January 26, 2023",CUST288,Male,28,Clothing,4,30,120,
289,"Thursday, November 30, 2023",CUST289,Male,53,Electronics,2,30,60,
290,"Wednesday, October 4, 2023",CUST290,Female,30,Beauty,2,300,600,
291,"Sunday, January 8, 2023",CUST291,Male,60,Clothing,2,300,600,
292,"Friday, February 17, 2023",CUST292,Male,20,Beauty,4,300,1200,
293,"Tuesday, May 2, 2023",CUST293,Male,50,Electronics,3,30,90,
294,"Monday, March 27, 2023",CUST294,Female,23,Clothing,3,30,90,
295,"Friday, July 28, 2023",CUST295,Female,27,Beauty,3,300,900,
296,"Wednesday, September 6, 2023",CUST296,Female,22,Clothing,4,300,1200,
297,"Monday, September 4, 2023",CUST297,Female,40,Electronics,2,500,1000,
298,"Thursday, April 20, 2023",CUST298,Male,27,Beauty,4,300,1200,
299,"Tuesday, July 25, 2023",CUST299,Male,61,Electronics,2,500,1000,
300,"Tuesday, January 31, 2023",CUST300,Female,19,Electronics,4,50,200,
301,"Sunday, March 26, 2023",CUST301,Male,30,Clothing,4,30,120,
302,"Friday, July 14, 2023",CUST302,Male,57,Beauty,2,300,600,
303,"Monday, January 2, 2023",CUST303,Male,19,Electronics,3,30,90,
304,"Wednesday, July 19, 2023",CUST304,Female,37,Electronics,2,30,60,
305,"Tuesday, May 16, 2023",CUST305,Female,18,Beauty,1,30,30,
306,"Monday, August 21, 2023",CUST306,Male,54,Electronics,1,50,50,
307,"Saturday, May 27, 2023",CUST307,Female,26,Electronics,2,25,50,
308,"Saturday, August 5, 2023",CUST308,Female,34,Beauty,4,300,1200,
309,"Saturday, December 23, 2023",CUST309,Female,26,Beauty,1,25,25,
310,"Thursday, October 12, 2023",CUST310,Female,28,Beauty,1,25,25,
311,"Tuesday, December 5, 2023",CUST311,Female,32,Beauty,4,25,100,
312,"Thursday, September 7, 2023",CUST312,Male,41,Clothing,4,30,120,
313,"Tuesday, March 21, 2023",CUST313,Female,55,Beauty,3,500,1500,
314,"Saturday, April 8, 2023",CUST314,Male,52,Clothing,4,30,120,
315,"Thursday, June 1, 2023",CUST315,Male,47,Clothing,2,30,60,
316,"Saturday, April 22, 2023",CUST316,Female,48,Clothing,2,25,50,
317,"Monday, January 30, 2023",CUST317,Male,22,Electronics,3,30,90,
318,"Tuesday, October 24, 2023",CUST318,Male,61,Clothing,1,25,25,
319,"Thursday, October 5, 2023",CUST319,Male,31,Clothing,1,500,500,
320,"Wednesday, February 1, 2023",CUST320,Female,28,Electronics,4,300,1200,
321,"Saturday, June 10, 2023",CUST321,Female,26,Electronics,2,25,50,
322,"Monday, January 30, 2023",CUST322,Male,51,Electronics,1,500,500,
323,"Thursday, January 26, 2023",CUST323,Female,29,Beauty,3,300,900,
324,"Friday, October 27, 2023",CUST324,Female,52,Electronics,3,50,150,
325,"Saturday, September 2, 2023",CUST325,Female,52,Electronics,2,25,50,
326,"Friday, September 15, 2023",CUST326,Female,18,Clothing,3,25,75,
327,"Friday, September 29, 2023",CUST327,Male,57,Electronics,3,50,150,
328,"Wednesday, March 22, 2023",CUST328,Male,39,Beauty,2,50,100,
329,"Monday, January 30, 2023",CUST329,Female,46,Electronics,4,25,100,
330,"Monday, September 18, 2023",CUST330,Female,25,Beauty,4,50,200,
331,"Saturday, February 11, 2023",CUST331,Male,28,Electronics,3,30,90,
332,"Thursday, April 6, 2023",CUST332,Male,58,Electronics,4,300,1200,
333,"Sunday, February 5, 2023",CUST333,Female,54,Electronics,4,300,1200,
